sample_budget,mode,optimization_cost,optimization_time_s,plan_execution_cost,plan_execution_time_s,total_cost,total_time_s,mean_sentinel_quality,mean_plan_quality,sentinel_plan_count,final_plan_count,stratify_features,strata_composition,strata_feature,train_selection,train_selection_features,train_skew,train_skew_focus_domain,train_skew_domain_ratios
5,random,0.0,17.403504848480225,0.0,14.271657228469849,0.0,31.675162076950073,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",composite,,random,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
5,stratified,0.0,15.39793610572815,0.0,14.589452743530273,0.0,29.987388849258423,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",composite,,random,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
10,random,0.0,14.801459074020386,0.0,14.412062883377075,0.0,29.21352195739746,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",composite,,random,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
10,stratified,0.0,15.767902135848999,0.0,14.421188831329346,0.0,30.189090967178345,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",composite,,random,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
15,random,0.0,14.708724021911621,0.0,15.611225128173828,0.0,30.31994915008545,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",composite,,random,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
15,stratified,0.0,16.912034034729004,0.0,15.301977157592773,0.0,32.21401119232178,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",composite,,random,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
