run,budget,quality_metric,quality_delta_strat_minus_random,runtime_delta_s_strat_minus_random,runtime_speedup_pct_vs_random,cost_delta_strat_minus_random,strat_quality_win,strat_runtime_win,strat_cost_win
run1_baseline,5,mean_sentinel_quality,0.0,-1.6877732276916504,5.328380715437091,0.0,False,True,False
run1_baseline,10,mean_sentinel_quality,0.0,0.9755690097808838,-3.3394433276602915,0.0,False,False,False
run1_baseline,15,mean_sentinel_quality,0.0,1.8940620422363281,-6.246916948510087,0.0,False,False,False
run2_stronger_strat,5,mean_sentinel_quality,0.0,1.1669471263885498,-4.0241054764929185,0.0,False,False,False
run2_stronger_strat,10,mean_sentinel_quality,0.0,1.3573131561279332,-4.581490048964392,0.0,False,False,False
run2_stronger_strat,15,mean_sentinel_quality,0.0,0.767527580261234,-2.678229217514028,0.0,False,False,False
