sample_budget,mode,optimization_cost,optimization_time_s,plan_execution_cost,plan_execution_time_s,total_cost,total_time_s,mean_sentinel_quality,mean_plan_quality,sentinel_plan_count,final_plan_count,stratify_features,strata_composition,strata_feature,train_selection,train_selection_features,train_skew,train_skew_focus_domain,train_skew_domain_ratios
5,random,0.0,14.479227066040039,0.0,14.51969289779663,0.0,28.99891996383667,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,stratified,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",balanced_domain,,
5,stratified,0.0,14.955806970596313,0.0,15.210060119628906,0.0,30.16586709022522,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,stratified,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",balanced_domain,,
10,random,0.0,14.471723079681396,0.0,15.154296875,0.0,29.626019954681396,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,stratified,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",balanced_domain,,
10,stratified,0.0,15.661275148391724,0.0,15.322057962417603,0.0,30.983333110809326,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,stratified,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",balanced_domain,,
15,random,0.0,14.370952367782593,0.0,14.287071943283081,0.0,28.658024311065674,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,stratified,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",balanced_domain,,
15,stratified,0.0,15.092017889022827,0.0,14.333534002304077,0.0,29.425551891326904,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,stratified,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",balanced_domain,,
