sample_budget,mode,optimization_cost,optimization_time_s,plan_execution_cost,plan_execution_time_s,total_cost,total_time_s,mean_sentinel_quality,mean_plan_quality,mean_sentinel_quality_all_ops,mean_plan_quality_all_ops,plan_quality_source,total_sampled_records,candidate_ops_explored,candidate_ops_pruned_estimate,quality_scored_records,stratify_features,strata_composition,strata_feature,train_selection,train_selection_features,train_skew,train_skew_focus_domain,train_skew_domain_ratios
5,random,0.0,67.94409322738647,0.0,48.43696999549866,0.0,116.38106322288513,1.0,1.0,1.0,1.0,final_plan,4,7,499,4,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
5,stratified,0.0,71.77473831176758,0.0,45.893709659576416,0.0,117.668447971344,1.0,1.0,1.0,1.0,final_plan,4,7,499,4,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
10,random,0.0,70.8625750541687,0.0,45.87768197059631,0.0,116.74025702476501,1.0,1.0,1.0,1.0,final_plan,4,7,499,4,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
10,stratified,0.0,65.42919087409973,0.0,51.67208123207092,0.0,117.10127210617065,1.0,1.0,1.0,1.0,final_plan,4,7,499,4,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
15,random,0.0,63.63233304023743,0.0,44.88922905921936,0.0,108.52156209945679,1.0,1.0,1.0,1.0,final_plan,4,7,499,4,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
15,stratified,0.0,63.588472843170166,0.0,45.01175022125244,0.0,108.60022306442261,1.0,1.0,1.0,1.0,final_plan,4,7,499,4,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
20,random,0.0,66.89192700386047,0.0,51.60679507255554,0.0,118.49872207641602,1.0,1.0,1.0,1.0,final_plan,4,7,499,4,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
20,stratified,0.0,69.10253405570984,0.0,49.36050200462341,0.0,118.46303606033325,1.0,1.0,1.0,1.0,final_plan,4,7,499,4,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
