sample_budget,mode,optimization_cost,optimization_time_s,plan_execution_cost,plan_execution_time_s,total_cost,total_time_s,mean_sentinel_quality,mean_plan_quality,mean_sentinel_quality_all_ops,mean_plan_quality_all_ops,plan_quality_source,total_sampled_records,candidate_ops_explored,candidate_ops_pruned_estimate,quality_scored_records,stratify_features,strata_composition,strata_feature,train_selection,train_selection_features,train_skew,train_skew_focus_domain,train_skew_domain_ratios
2,random,0.0,7.3851237297058105,0.0,21.552847146987915,0.0,28.937970876693726,1.0,1.0,1.0,1.0,final_plan,1,3,503,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
2,stratified,0.0,7.152505874633789,0.0,21.198378086090088,0.0,28.350883960723877,1.0,1.0,1.0,1.0,final_plan,1,3,503,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
4,random,0.0,14.990103721618652,0.0,21.36361527442932,0.0,36.353718996047974,1.0,1.0,1.0,1.0,final_plan,2,3,503,2,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
4,stratified,0.0,14.087729930877686,0.0,21.556080102920532,0.0,35.64381003379822,1.0,1.0,1.0,1.0,final_plan,2,3,503,2,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
