sample_budget,mode,optimization_cost,optimization_time_s,plan_execution_cost,plan_execution_time_s,total_cost,total_time_s,mean_sentinel_quality,mean_plan_quality,mean_sentinel_quality_all_ops,mean_plan_quality_all_ops,plan_quality_source,total_sampled_records,candidate_ops_explored,candidate_ops_pruned_estimate,quality_scored_records,stratify_features,strata_composition,strata_feature,train_selection,train_selection_features,train_skew,train_skew_focus_domain,train_skew_domain_ratios
2,random,0.0,7.4118428230285645,0.0,20.49694800376892,0.0,27.908790826797485,1.0,1.0,1.0,1.0,final_plan,1,3,503,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
2,stratified,0.0,7.080699920654297,0.0,22.02375817298889,0.0,29.10445809364319,1.0,1.0,1.0,1.0,final_plan,1,3,503,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
4,random,0.0,14.478676080703735,0.0,22.195619106292725,0.0,36.67429518699646,1.0,1.0,1.0,1.0,final_plan,2,3,503,2,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
4,stratified,0.0,15.826866149902344,0.0,22.161622762680054,0.0,37.9884889125824,1.0,1.0,1.0,1.0,final_plan,2,3,503,2,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
