sample_budget,mode,optimization_cost,optimization_time_s,plan_execution_cost,plan_execution_time_s,total_cost,total_time_s,mean_sentinel_quality,mean_plan_quality,mean_sentinel_quality_all_ops,mean_plan_quality_all_ops,plan_quality_source,total_sampled_records,candidate_ops_explored,candidate_ops_pruned_estimate,quality_scored_records,stratify_features,strata_composition,strata_feature,train_selection,train_selection_features,train_skew,train_skew_focus_domain,train_skew_domain_ratios
2,random,0.0,7.701316833496094,0.0,21.57970094680786,0.0,29.281017780303955,1.0,1.0,1.0,1.0,final_plan,1,3,503,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
2,stratified,0.0,7.123891353607178,0.0,20.389776706695557,0.0,27.513668060302734,1.0,1.0,1.0,1.0,final_plan,1,3,503,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
4,random,0.0,14.31466794013977,0.0,20.93327784538269,0.0,35.24794578552246,1.0,1.0,1.0,1.0,final_plan,2,3,503,2,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
4,stratified,0.0,14.005306959152222,0.0,21.579161882400513,0.0,35.584468841552734,1.0,1.0,1.0,1.0,final_plan,2,3,503,2,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
