sample_budget,mode,optimization_cost,optimization_time_s,plan_execution_cost,plan_execution_time_s,total_cost,total_time_s,mean_sentinel_quality,mean_plan_quality,sentinel_plan_count,final_plan_count,stratify_features,strata_composition,strata_feature,train_selection,train_selection_features,train_skew,train_skew_focus_domain,train_skew_domain_ratios
2,random,0.0,7.30375599861145,0.0,18.286925792694092,0.0,25.590681791305542,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
2,stratified,0.0,6.949371814727783,0.0,18.34349799156189,0.0,25.292869806289673,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
4,random,0.0,14.223620176315308,0.0,17.700297832489014,0.0,31.92391800880432,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
4,stratified,0.0,14.147261142730713,0.0,17.811306953430176,0.0,31.95856809616089,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
