sample_budget,mode,optimization_cost,optimization_time_s,plan_execution_cost,plan_execution_time_s,total_cost,total_time_s,mean_sentinel_quality,mean_plan_quality,sentinel_plan_count,final_plan_count,stratify_features,strata_composition,strata_feature,train_selection,train_selection_features,train_skew,train_skew_focus_domain,train_skew_domain_ratios
5,random,0.0,10.424302816390991,0.0,12.952250242233276,0.0,23.376553058624268,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
5,stratified,0.0,10.62939715385437,0.0,12.950248956680298,0.0,23.579646110534668,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
10,random,0.0,10.243310689926147,0.0,12.872859239578247,0.0,23.116169929504395,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
10,stratified,0.0,10.505581140518188,0.0,13.13753080368042,0.0,23.64311194419861,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
15,random,0.0,10.06453800201416,0.0,13.232791185379028,0.0,23.29732918739319,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
15,stratified,0.0,10.285157203674316,0.0,13.13320279121399,0.0,23.418359994888306,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
20,random,0.0,10.013017177581787,0.0,12.919610977172852,0.0,22.93262815475464,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
20,stratified,0.0,10.695679903030396,0.0,13.571979761123657,0.0,24.267659664154053,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
