sample_budget,mode,optimization_cost,optimization_time_s,plan_execution_cost,plan_execution_time_s,total_cost,total_time_s,mean_sentinel_quality,mean_plan_quality,sentinel_plan_count,final_plan_count,stratify_features,strata_composition,strata_feature,train_selection,train_selection_features,train_skew,train_skew_focus_domain,train_skew_domain_ratios
5,random,0.0,10.137167930603027,0.0,13.073055982589722,0.0,23.21022391319275,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
5,stratified,0.0,10.599667072296143,0.0,13.705275058746338,0.0,24.30494213104248,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
10,random,0.0,10.029657125473022,0.0,13.89097809791565,0.0,23.920635223388672,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
10,stratified,0.0,10.373656988143921,0.0,13.153851985931396,0.0,23.527508974075317,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
15,random,0.0,10.060690879821777,0.0,13.180699825286865,0.0,23.241390705108643,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
15,stratified,0.0,10.712356090545654,0.0,13.75126600265503,0.0,24.463622093200684,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
20,random,0.0,10.144658327102661,0.0,13.484831809997559,0.0,23.62949013710022,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
20,stratified,0.0,10.519481897354126,0.0,13.301007986068726,0.0,23.82048988342285,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
