sample_budget,mode,optimization_cost,optimization_time_s,plan_execution_cost,plan_execution_time_s,total_cost,total_time_s,mean_sentinel_quality,mean_plan_quality,sentinel_plan_count,final_plan_count,stratify_features,strata_composition,strata_feature,train_selection,train_selection_features,train_skew,train_skew_focus_domain,train_skew_domain_ratios
3,random,0.0,23.115896224975586,0.0,65.58693504333496,0.0,88.70283126831055,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
3,stratified,0.0,20.133331060409546,0.0,65.77325487136841,0.0,85.90658593177795,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
5,random,0.0,19.691363096237183,0.0,64.95523285865784,0.0,84.64659595489502,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
5,stratified,0.0,19.695510149002075,0.0,64.98269081115723,0.0,84.6782009601593,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
7,random,0.0,20.201792001724243,0.0,64.88594102859497,0.0,85.08773303031921,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
7,stratified,0.0,19.79045605659485,0.0,63.691755056381226,0.0,83.48221111297607,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
10,random,0.0,19.643249988555908,0.0,68.03507924079895,0.0,87.67832922935486,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
10,stratified,0.0,20.05143690109253,0.0,68.26618123054504,0.0,88.31761813163757,1.0,,1,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
