sample_budget,mode,optimization_cost,optimization_time_s,plan_execution_cost,plan_execution_time_s,total_cost,total_time_s,mean_sentinel_quality,mean_plan_quality,mean_sentinel_quality_all_ops,mean_plan_quality_all_ops,plan_quality_source,total_sampled_records,candidate_ops_explored,candidate_ops_pruned_estimate,quality_scored_records,stratify_features,strata_composition,strata_feature,train_selection,train_selection_features,train_skew,train_skew_focus_domain,train_skew_domain_ratios
2,random,0.0,8.484600067138672,0.0,21.265681743621826,0.0,29.750281810760498,1.0,1.0,1.0,1.0,final_plan,1,3,503,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
2,stratified,0.0,7.671927213668823,0.0,22.76097297668457,0.0,30.432900190353394,1.0,1.0,1.0,1.0,final_plan,1,3,503,1,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
4,random,0.0,15.510478258132935,0.0,21.198741912841797,0.0,36.70922017097473,1.0,1.0,1.0,1.0,final_plan,2,3,503,2,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
4,stratified,0.0,14.700423955917358,0.0,21.386667013168335,0.0,36.08709096908569,1.0,1.0,1.0,1.0,final_plan,2,3,503,2,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",cartesian,,prefix,"word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain",natural,,
